Asset ID,Street,City,Post Code,Building Number,Building Name,Sub-Building,Region,Country,Latitude,Longitude,Building ID,Property Identifier,Year,Scenario,Flood Defences,Physical Risk Score,River Flood Score,River Flood Severity Value (maximum depth (m)),River Flood Severity Lower Bound,River Flood Severity Upper Bound,River Flood Reliability,Surface Flood Score,Surface Flood Severity Value (maximum depth (m)),Surface Flood Severity Lower Bound,Surface Flood Severity Upper Bound,Surface Flood Reliability,Coastal Flood Score,Coastal Flood Severity Value (maximum depth (m)),Coastal Flood Severity Lower Bound,Coastal Flood Severity Upper Bound,Coastal Flood Reliability,Wildfires Score,Wildfires Severity Value (No of fire weather days),Wildfires Severity Lower Bound,Wildfires Severity Upper Bound,Wildfires Likelihood,Wildfires Reliability,Wildfires Climate Reliability,Storms Score,Storms Severity Value (3s gust wind speed (km/h)),Storms Severity Lower Bound,Storms Severity Upper Bound,Storms Reliability,Storms Climate Reliability,Tropical Cyclones Score,Tropical Cyclones Severity Value (3s gust wind speed (km/h)),Tropical Cyclones Severity Lower Bound,Tropical Cyclones Severity Upper Bound,Tropical Cyclones Reliability,Tropical Cyclones Climate Reliability,Subsidence Score,"Subsidence Severity Value (indicator [0,2])",Subsidence Severity Lower Bound,Subsidence Severity Upper Bound,Subsidence Reliability,Subsidence Climate Reliability,Landslide Score,Landslide Likelihood,Landslide Reliability,Landslide Climate Reliability,Extreme Heat Days Score,Extreme Heat Days Severity Value (No of heatwave days),Extreme Heat Days Severity Lower Bound,Extreme Heat Days Severity Upper Bound,Extreme Heat Days Reliability,Extreme Heat Days Climate Reliability,Drought Score,Drought Severity Value (Magnitude),Drought Severity Lower Bound,Drought Severity Upper Bound,Drought Likelihood,Drought Reliability,Drought Climate Reliability,Age Category,Age Category Flag,Asset Use,Asset Type,Structure Category,Flood Elevation Structure,Building Replacement Cost,Gross Premise Area Flag,Gross Premise Area,Floor Count,Currency,Unit of Length,River Flood Loss,Surface Flood Loss,Coastal Flood Loss,Subsidence Loss,Landslide Loss,Wildfires Loss,Storms Loss,Tropical Cyclones Loss,Total Building Loss,Total Loss per Unit/Flat,Total Loss Percentage,Unit/Flat Volume,Basement
1,,,,,,,East Midlands (England),United Kingdom,52.7702909069,0.1894779759,23047437,100030889668,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,D,0.06,0.05,0.06,,E,0.44,0.41,0.46,,A,2.919686,0.0,10.5232,0.101657,0.75,0.9353354,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,B,1.070282,1.0,1.15,0.75,0.9361328,A,3e-06,0.93,0.9353354,A,5.0,2.0,8.2,0.8968716,0.8968716,C,4.724544,1.036496,15.132925,0.187759,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,1119385.0,A,824.6,2.0,GBP,Metres,0.0,224.0,2537.0,1574.0,0.0,0.0,53.0,0.0,4388.0,878.0,0.0039196602,5.0,0.0
10,Main Rd,Boston,PE22 9AZ,,,,East Midlands (England),United Kingdom,53.0673153,0.1993399,,,2020,ssp370,Undefended,E,A,0.0,0.0,0.0,,D,0.39,0.37,0.41,,F,2.67,2.65,2.7,,B,0.647913,0.0,1.992323,0.170588,0.75,0.9353354,E,159.300003,153.0,165.599991,0.83,0.83,,,,,,,A,0.999787,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,1.0,0.0,2.3,0.8968716,0.8968716,E,6.998137,1.024707,19.040302,0.189046,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,1931.0,129325.0,1347.0,0.0,735.0,60.0,0.0,133398.0,133398.0,0.1055373395,1.0,0.0
2,,,,,,,East Midlands (England),United Kingdom,52.8408284176,0.1697058665,23337180,200001147586,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.23,1.2,1.26,,A,2.281594,0.0,8.0688,0.138198,0.75,0.9353354,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,A,0.970076,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,5.0,2.0,8.2,0.8968716,0.8968716,C,4.724544,1.036496,15.132925,0.187759,0.65,0.65,post-1985,A,residential,SINGLE_RES,C_4,Not applied,297561.0,A,219.2,1.0,GBP,Metres,0.0,0.0,5268.0,280.0,0.0,0.0,146.0,0.0,5694.0,5694.0,0.0191367064,1.0,0.0
3,,,,,,,East Midlands (England),United Kingdom,52.8494594446,0.1414652949,917061,,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,E,1.01,0.98,1.05,,A,2.244228,0.0,7.864,0.090623,0.75,0.9353354,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,A,0.963124,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,5.5,2.0,9.1,0.8968716,0.8968716,C,4.724544,1.036496,15.132925,0.187759,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,31765.0,A,23.4,1.0,GBP,Metres,0.0,0.0,399.0,29.0,0.0,0.0,16.0,0.0,444.0,444.0,0.0139805546,1.0,0.0
4,,,,,,,East Midlands (England),United Kingdom,52.8548146185,0.1709734372,22418623,,2020,ssp370,Undefended,D,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,F,1.66,1.63,1.68,,B,2.141091,0.0,7.544,0.187452,0.75,0.9353354,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,A,0.967088,0.0,1.0,0.75,0.9361328,A,0.0,0.93,0.9353354,A,5.0,2.0,8.2,0.8968716,0.8968716,C,4.458035,1.020595,11.349158,0.189075,0.65,0.65,post-1985,M,residential,SINGLE_RES,C_4,Not applied,35838.0,A,26.4,1.0,GBP,Metres,0.0,0.0,2854.0,33.0,0.0,44.0,18.0,0.0,2950.0,2950.0,0.0823123315,1.0,0.0
5,Durhams Road,Spalding,PE12 9NJ,5.0,,,East Midlands (England),United Kingdom,52.8607484,0.1335514,,,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,B,0.0,0.0,0.08,,E,1.61,1.58,1.65,,B,2.149826,0.0,7.4928,0.163036,0.75,0.9353354,E,157.5,151.199997,163.800003,0.83,0.83,,,,,,,A,0.967976,0.0,1.0,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,5.5,2.0,9.1,0.8968716,0.8968716,C,4.458035,1.020595,11.349158,0.189075,0.65,0.65,post-1985,D,commercial,,C_5,Not applied,1263991.0,D,1000.0,1.0,GBP,Metres,0.0,46.0,21485.0,1180.0,0.0,472.0,60.0,0.0,23244.0,23244.0,0.0183894662,1.0,0.0
6,Marsh Rd,Holbeach Hurn,PE12 8JY,1.0,,,East Midlands (England),United Kingdom,52.8231572,0.0656962,4441069,100032161463,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,C,0.0,0.0,0.0,,A,2.626771,0.0,9.1152,0.118228,0.75,0.9353354,E,154.800003,148.5,161.099991,0.83,0.83,,,,,,,B,1.054268,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,5.5,2.0,9.1,0.8968716,0.8968716,C,4.987988,1.127961,14.633424,0.189998,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,317381.0,A,233.8,2.0,GBP,Metres,0.0,0.0,85.0,420.0,0.0,0.0,15.0,0.0,520.0,520.0,0.0016390346,1.0,0.0
7,,,,,,,East Midlands (England),United Kingdom,52.8088689,0.1259753,23062655,100030887449,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,D,0.39,0.35,0.42,,B,2.655068,0.0,9.3648,0.163153,0.75,0.9353354,E,154.800003,148.5,161.099991,0.83,0.83,,,,,,,B,1.059913,1.0,1.15,0.75,0.9361328,A,6e-06,0.93,0.9353354,A,5.5,2.0,9.1,0.8968716,0.8968716,C,4.724544,1.036496,15.132925,0.187759,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,268240.0,A,197.6,2.0,GBP,Metres,0.0,0.0,485.0,363.0,0.0,107.0,13.0,0.0,968.0,968.0,0.0036079738,1.0,0.0
8,Pinstock Lane,Spalding,PE12 0BT,,,,East Midlands (England),United Kingdom,52.7960426,0.0741809,22823054,100030891649,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,C,0.0,0.0,0.06,,A,2.869431,0.0,10.0336,0.127764,0.75,0.9353354,E,154.800003,148.5,161.099991,0.83,0.83,,,,,,,C,1.267701,1.15,1.3,0.75,0.9361328,A,3e-06,0.93,0.9353354,A,5.5,2.0,9.1,0.8968716,0.8968716,C,4.987988,1.127961,14.633424,0.189998,0.65,0.65,pre-1919,M,residential,SINGLE_RES,C_5,Not applied,221542.0,A,163.2,2.0,GBP,Metres,0.0,0.0,147.0,619.0,0.0,0.0,11.0,0.0,777.0,777.0,0.0035063469,1.0,0.0
9,Witham Town,Boston,PE21 9JY,6.0,,,East Midlands (England),United Kingdom,52.9835697,-0.0310725,13519302,200004467536,2020,ssp370,Undefended,A,A,0.0,0.0,0.0,,A,0.0,0.0,0.0,,B,0.0,0.0,0.0,,A,1.295597,0.0,3.935754,0.096628,0.75,0.9353354,E,155.699997,149.399994,162.0,0.83,0.83,,,,,,,B,1.036986,1.0,1.15,0.75,0.9361328,A,1e-06,0.93,0.9353354,A,4.9,1.9,9.1,0.8968716,0.8968716,E,6.115811,1.108053,15.069879,0.191487,0.65,0.65,post-1985,M,agriculture,AGRICULTURE,C_5,Not applied,216142.0,A,171.0,2.0,GBP,Metres,0.0,0.0,26.0,267.0,0.0,0.0,10.0,0.0,303.0,303.0,0.0014040092,1.0,0.0
